[LoggerStatus.SUCCESS] | Installed: cloc | Sat Oct 19 14:35:56 2024
[LoggerStatus.SUCCESS] | Installed: evince | Sat Oct 19 14:35:56 2024
[LoggerStatus.SUCCESS] | Installed: gnome-calculator | Sat Oct 19 14:35:57 2024
[LoggerStatus.SUCCESS] | Installed: gnome-disk-utility | Sat Oct 19 14:35:57 2024
[LoggerStatus.SUCCESS] | Installed: gucharmap | Sat Oct 19 14:35:57 2024
[LoggerStatus.SUCCESS] | Installed: gthumb | Sat Oct 19 14:35:58 2024
[LoggerStatus.SUCCESS] | Installed: gnome-clocks | Sat Oct 19 14:35:58 2024
[LoggerStatus.SUCCESS] | [+] Prepare Multilib | Sat Oct 19 14:35:58 2024
[LoggerStatus.SUCCESS] | [+] Update Multilib Repository | Sat Oct 19 14:35:58 2024
[LoggerStatus.SUCCESS] | [+] Install Nvidia & Intel Drivers | Sat Oct 19 14:35:58 2024
[LoggerStatus.SUCCESS] | [+] Starting assembly. Options (True, True, True, True, True) | Sat Oct 19 14:36:46 2024
[LoggerStatus.SUCCESS] | [+] Create default directories | Sat Oct 19 14:36:46 2024
[LoggerStatus.SUCCESS] | [+] Copy Dotfiles & GTK | Sat Oct 19 14:36:46 2024
[LoggerStatus.SUCCESS] | [+] Updates Enabled | Sat Oct 19 14:36:47 2024
[LoggerStatus.SUCCESS] | [+] Installed BSPWM Dependencies | Sat Oct 19 14:36:50 2024
[LoggerStatus.SUCCESS] | Installed: tumbler | Sat Oct 19 14:37:04 2024
[LoggerStatus.SUCCESS] | Installed: ffmpegthumbnailer | Sat Oct 19 14:37:05 2024
[LoggerStatus.SUCCESS] | Installed: lsd | Sat Oct 19 14:37:05 2024
[LoggerStatus.SUCCESS] | Installed: alacritty | Sat Oct 19 14:37:06 2024
[LoggerStatus.SUCCESS] | Installed: bat | Sat Oct 19 14:37:06 2024
[LoggerStatus.SUCCESS] | Installed: brightnessctl | Sat Oct 19 14:37:06 2024
[LoggerStatus.SUCCESS] | Installed: calc | Sat Oct 19 14:37:07 2024
[LoggerStatus.SUCCESS] | Installed: automake | Sat Oct 19 14:37:07 2024
[LoggerStatus.SUCCESS] | Installed: blueman | Sat Oct 19 14:37:09 2024
[LoggerStatus.SUCCESS] | Installed: bluez | Sat Oct 19 14:37:09 2024
[LoggerStatus.SUCCESS] | Installed: bluez-utils | Sat Oct 19 14:37:10 2024
[LoggerStatus.SUCCESS] | Installed: dunst | Sat Oct 19 14:37:11 2024
[LoggerStatus.SUCCESS] | Installed: fakeroot | Sat Oct 19 14:37:11 2024
[LoggerStatus.SUCCESS] | Installed: feh | Sat Oct 19 14:37:11 2024
[LoggerStatus.SUCCESS] | Installed: firefox | Sat Oct 19 14:37:13 2024
[LoggerStatus.SUCCESS] | Installed: fish | Sat Oct 19 14:37:13 2024
[LoggerStatus.SUCCESS] | Installed: dpkg | Sat Oct 19 14:37:14 2024
